아카라이브 던파 채널 워드클라우드 통계
============================================================

분석 대상:
  - 게시글 수: 512개
  - 전체 텍스트: 31,233자
  - 추출 명사: 5,907개
  - 필터링 후: 4,201개

Top 100 단어:
============================================================

  1. 예매              :     98회
  2. 던페              :     89회
  3. 진짜              :     51회
  4. 취소표             :     48회
  5. 티켓              :     42회
  6. 사람              :     42회
  7. 작년              :     39회
  8. 시발              :     39회
  9. 새끼              :     33회
 10. 던파              :     31회
 11. 생각              :     31회
 12. 대기              :     30회
 13. 모험              :     30회
 14. 그냥              :     29회
 15. 씨발              :     27회
 16. 매진              :     26회
 17. 존나              :     25회
 18. 티켓팅             :     24회
 19. 시간              :     24회
 20. 정도              :     23회
 21. 새로고침            :     22회
 22. 테러              :     21회
 23. 이번              :     20회
 24. 결제              :     20회
 25. 지금              :     18회
 26. 친구              :     17회
 27. 이제              :     16회
 28. 일요일             :     16회
 29. 입장              :     16회
 30. 보고              :     15회
 31. 쿠폰              :     15회
 32. 인증              :     15회
 33. 바니              :     15회
 34. 취소              :     15회
 35. 다시              :     15회
 36. 일단              :     15회
 37. 때문              :     14회
 38. 바로              :     14회
 39. 행사              :     14회
 40. 신고              :     14회
 41. 사실              :     13회
 42. 제발              :     13회
 43. 이건              :     11회
 44. 토요일             :     11회
 45. 던붕이들            :     11회
 46. 되팔렘             :     11회
 47. 병신              :     11회
 48. 양도              :     11회
 49. 오늘              :     10회
 50. 성공              :     10회
 51. 티켓링크            :     10회
 52. 해도              :      9회
 53. 포기              :      9회
 54. 세라              :      9회
 55. 티케팅             :      9회
 56. 매크로             :      9회
 57. 자리              :      9회
 58. 던붕              :      9회
 59. 선택              :      9회
 60. 확인              :      9회
 61. 방법              :      9회
 62. 간다              :      8회
 63. 킨텍스             :      8회
 64. 종민              :      8회
 65. 준비              :      8회
 66. 연습              :      8회
 67. 발표              :      8회
 68. 던페때             :      8회
 69. 던붕이             :      8회
 70. 개추              :      8회
 71. 공식              :      8회
 72. 구매              :      8회
 73. 계속              :      8회
 74. 가면              :      8회
 75. 게임              :      8회
 76. 파이어볼            :      8회
 77. 팔이              :      8회
 78. 암표              :      8회
 79. 예약              :      7회
 80. 시작              :      7회
 81. 한번              :      7회
 82. 하나              :      7회
 83. 단명              :      7회
 84. 아크릴             :      7회
 85. 벅스              :      7회
 86. 번호              :      7회
 87. 건가              :      7회
 88. 이면              :      7회
 89. 제한              :      7회
 90. 정보              :      7회
 91. 누가              :      7회
 92. 예고              :      7회
 93. 가도              :      6회
 94. 얼마나             :      6회
 95. 대충              :      6회
 96. 보통              :      6회
 97. 가야              :      6회
 98. 다행              :      6회
 99. 언제              :      6회
100. 보상              :      6회
